ISO_TIME,WMO_WIND,WMO_PRES
26-04-2019  120000,25,998
26-04-2019  180000,25,998
27-04-2019  030000,30,996
27-04-2019  060000,35,995
27-04-2019  090000,40,994
27-04-2019  120000,45,992
27-04-2019  150000,45,992
27-04-2019  180000,45,992
27-04-2019  210000,45,992
28-04-2019  030000,45,992
28-04-2019  060000,45,992
28-04-2019  090000,45,992
28-04-2019  120000,45,992
28-04-2019  150000,45,992
28-04-2019  180000,45,992
28-04-2019  210000,45,992
29-04-2019  030000,45,992
29-04-2019  060000,45,992
29-04-2019  090000,45,992
29-04-2019  120000,55,986
29-04-2019  150000,55,986
29-04-2019  180000,55,986
29-04-2019  210000,65,982
30-04-2019  030000,75,974
30-04-2019  060000,80,970
30-04-2019  090000,85,966
30-04-2019  120000,90,962
30-04-2019  150000,95,957
30-04-2019  180000,95,957
30-04-2019  210000,95,957
01-05-2019  030000,95,957
01-05-2019  060000,95,957
01-05-2019  090000,95,955
01-05-2019  120000,100,950
01-05-2019  150000,100,950
01-05-2019  180000,100,950
01-05-2019  210000,100,950
02-05-2019  030000,105,945
02-05-2019  060000,110,940
02-05-2019  090000,115,932
02-05-2019  150000,115,934
02-05-2019  180000,115,934
02-05-2019  210000,115,934
03-05-2019  030000,100,952
03-05-2019  060000,85,966
03-05-2019  090000,75,970
03-05-2019  120000,70,976
03-05-2019  150000,60,980
03-05-2019  180000,55,984
03-05-2019  210000,50,986
04-05-2019  030000,30,996
04-05-2019  060000,25,998
04-05-2019  120000,20,1000
16-05-2020  030000,25,1000
16-05-2020  060000,25,1000
16-05-2020  090000,30,998
16-05-2020  120000,35,996
16-05-2020  150000,40,995
16-05-2020  180000,40,995
16-05-2020  210000,45,994
17-05-2020  030000,50,990
17-05-2020  060000,55,988
17-05-2020  090000,65,980
17-05-2020  120000,70,978
17-05-2020  150000,75,972
17-05-2020  180000,80,970
17-05-2020  210000,90,962
18-05-2020  030000,115,936
18-05-2020  060000,120,930
18-05-2020  090000,120,930
18-05-2020  120000,125,926
18-05-2020  150000,125,926
18-05-2020  180000,130,920
18-05-2020  210000,130,920
19-05-2020  030000,120,930
19-05-2020  060000,115,936
19-05-2020  090000,110,942
19-05-2020  120000,105,946
19-05-2020  150000,100,948
19-05-2020  180000,100,948
19-05-2020  210000,100,948
20-05-2020  030000,95,954
20-05-2020  060000,90,956
20-05-2020  090000,90,960
20-05-2020  120000,85,957
20-05-2020  150000,65,968
20-05-2020  180000,50,978
20-05-2020  210000,45,986
21-05-2020  030000,35,990
21-05-2020  060000,30,992
21-05-2020  120000,20,995
